CHR,LOC_NUM,GWAS,GENE
chr1,3,META6,PBXIP1
chr1,3,META6,SHC1
chr1,3,META6,MIR4258
chr1,3,META6,LOC101928120
chr1,3,META6,FLAD1
chr1,3,META6,LENEP
chr1,3,META6,DCST1-AS1
chr1,3,META6,EFNA4
chr1,3,META6,EFNA3
chr1,3,META6,SLC50A1
chr1,3,META6,EFNA1
chr1,3,META6,TRIM46
chr1,3,META6,MIR92B
chr1,3,META6,MTX1
chr1,3,META6,SCAMP3
chr1,3,META6,PKLR
chr1,3,META6,RUSC1
chr1,3,META6,MIR555
chr1,3,META6,POU5F1P4
chr1,3,META6,ASH1L-AS1
chr1,3,META6,MSTO1
chr1,3,META6,MSTO2P
chr1,3,META6,SCARNA26A
chr1,3,META6,SCARNA26B
chr1,3,META6,SCARNA4
chr1,3,META6,SNORA80E
chr1,3,META6,MIR6738
chr1,3,META6,SSR2
chr1,3,META6,RAB25
chr1,3,META6,LMNA
chr1,3,META6,UBAP2L
chr1,3,META6,ATP8B2
chr1,3,META6,IL6R
chr1,3,META6,SHE
chr1,3,META6,ADAR
chr1,3,META6,UBE2Q1
chr1,3,META6,CKS1B
chr1,3,META6,ZBTB7B
chr1,3,META6,DCST1
chr1,3,META6,PYGO2
chr1,3,META6,DCST2
chr1,3,META6,KRTCAP2
chr1,3,META6,DPM3
chr1,3,META6,HCN3
chr1,3,META6,THBS3
chr1,3,META6,CLK2
chr1,3,META6,FAM189B
chr1,3,META6,GBA
chr1,3,META6,GBAP1
chr1,3,META6,YY1AP1
chr1,3,META6,RIT1
chr1,3,META6,KHDC4
chr1,3,META6,RXFP4
chr1,3,META6,SYT11
chr1,3,META6,LAMTOR2
chr1,3,META6,MEX3A
chr1,3,META6,UBQLN4
chr1,3,META6,SEMA4A
chr1,3,META6,SLC25A44
chr1,3,META6,KCNN3
chr1,3,META6,IL6R-AS1
chr1,3,META6,ADAM15
chr1,3,META6,PMVK
chr1,3,META6,TDRD10
chr1,3,META6,GON4L
chr1,3,META6,FDPS
chr1,3,META6,DAP3
chr1,3,META6,ARHGEF2
chr1,3,META6,ASH1L
chr1,3,META6,RUSC1-AS1
chr1,3,META6,MUC1
chr1,3,META6,PMF1
chr1,3,META6,PMF1-BGLAP
chr1,4,META6,PIGM
chr1,4,META6,IGSF8
chr1,4,META6,CASQ1
chr1,4,META6,PEA15
chr1,4,META6,LOC100287049
chr1,4,META6,NHLH1
chr1,4,META6,LY9
chr1,4,META6,ITLN1
chr1,4,META6,ITLN2
chr1,4,META6,USF1
chr1,4,META6,KLHDC9
chr1,4,META6,DEDD
chr1,4,META6,USP21
chr1,4,META6,UFC1
chr1,4,META6,B4GALT3
chr1,4,META6,ADAMTS4
chr1,4,META6,NDUFS2
chr1,4,META6,MIR5187
chr1,4,META6,TOMM40L
chr1,4,META6,APOA2
chr1,4,META6,MPZ
chr1,4,META6,HSPA6
chr1,4,META6,HSPA7
chr1,4,META6,RPL31P11
chr1,4,META6,DUSP12
chr1,4,META6,ATP1A2
chr1,4,META6,KCNJ9
chr1,4,META6,ATP1A4
chr1,4,META6,LOC729867
chr1,4,META6,DCAF8
chr1,4,META6,PEX19
chr1,4,META6,NCSTN
chr1,4,META6,VANGL2
chr1,4,META6,SUMO1P3
chr1,4,META6,SLAMF6
chr1,4,META6,SLAMF1
chr1,4,META6,SLAMF7
chr1,4,META6,LOC101928372
chr1,4,META6,CD244
chr1,4,META6,TSTD1
chr1,4,META6,F11R
chr1,4,META6,ARHGAP30
chr1,4,META6,NIT1
chr1,4,META6,PPOX
chr1,4,META6,LOC112543491
chr1,4,META6,PFDN2
chr1,4,META6,NR1I3
chr1,4,META6,PCP4L1
chr1,4,META6,CFAP126
chr1,4,META6,FCGR3A
chr1,4,META6,FCGR2A
chr1,4,META6,FCGR2C
chr1,4,META6,FCGR2B
chr1,4,META6,FCRLA
chr1,4,META6,FCGR3B
chr1,4,META6,FCRLB
chr1,4,META6,KCNJ10
chr1,4,META6,COPA
chr1,4,META6,SDHC
chr1,4,META6,CD84
chr1,4,META6,CD48
chr1,4,META6,FCER1G
chr1,4,META6,NECTIN4
chr1,4,META6,OLFML2B
chr1,4,META6,ATF6
chr1,5,META6,NHLH1
chr1,5,META6,LY9
chr1,5,META6,ITLN1
chr1,5,META6,ITLN2
chr1,5,META6,USF1
chr1,5,META6,KLHDC9
chr1,5,META6,DEDD
chr1,5,META6,USP21
chr1,5,META6,UFC1
chr1,5,META6,B4GALT3
chr1,5,META6,ADAMTS4
chr1,5,META6,NDUFS2
chr1,5,META6,MIR5187
chr1,5,META6,TOMM40L
chr1,5,META6,APOA2
chr1,5,META6,MPZ
chr1,5,META6,HSPA6
chr1,5,META6,HSPA7
chr1,5,META6,RPL31P11
chr1,5,META6,DUSP12
chr1,5,META6,MIR4654
chr1,5,META6,NCSTN
chr1,5,META6,VANGL2
chr1,5,META6,SLAMF6
chr1,5,META6,SLAMF1
chr1,5,META6,SLAMF7
chr1,5,META6,LOC101928372
chr1,5,META6,CD244
chr1,5,META6,TSTD1
chr1,5,META6,F11R
chr1,5,META6,ARHGAP30
chr1,5,META6,NIT1
chr1,5,META6,PPOX
chr1,5,META6,LOC112543491
chr1,5,META6,PFDN2
chr1,5,META6,NR1I3
chr1,5,META6,PCP4L1
chr1,5,META6,CFAP126
chr1,5,META6,FCGR3A
chr1,5,META6,FCGR2A
chr1,5,META6,FCGR2C
chr1,5,META6,FCGR2B
chr1,5,META6,FCRLA
chr1,5,META6,FCGR3B
chr1,5,META6,FCRLB
chr1,5,META6,COPA
chr1,5,META6,SDHC
chr1,5,META6,CD84
chr1,5,META6,CD48
chr1,5,META6,FCER1G
chr1,5,META6,NECTIN4
chr1,5,META6,OLFML2B
chr1,5,META6,NOS1AP
chr1,5,META6,ATF6
chr1,5,META6,MIR556
chr1,5,META6,SPATA46
chr1,5,META6,C1orf226
chr1,5,META6,SH2D1B
chr1,6,META6,MIR1295A
chr1,6,META6,MIR1295B
chr1,6,META6,TOP1P1
chr1,6,META6,DNM3-IT1
chr1,6,META6,DNM3OS
chr1,6,META6,MIR214
chr1,6,META6,MIR3120
chr1,6,META6,MIR199A2
chr1,6,META6,FASLG
chr1,6,META6,MROH9
chr1,6,META6,FMO6P
chr1,6,META6,FMO3
chr1,6,META6,FMO2
chr1,6,META6,FMO1
chr1,6,META6,FMO4
chr1,6,META6,MYOC
chr1,6,META6,MYOCOS
chr1,6,META6,EEF1AKNMT
chr1,6,META6,PIGC
chr1,6,META6,C1orf105
chr1,6,META6,SUCO
chr1,6,META6,PRRC2C
chr1,6,META6,VAMP4
chr1,6,META6,DNM3
chr1,7,META6,TMEM81
chr1,7,META6,MIR135B
chr1,7,META6,LEMD1-DT
chr1,7,META6,MFSD4A-AS1
chr1,7,META6,ELK4
chr1,7,META6,RAB29
chr1,7,META6,LOC284581
chr1,7,META6,LOC103021295
chr1,7,META6,MIR6769B
chr1,7,META6,IL10
chr1,7,META6,NFASC
chr1,7,META6,RBBP5
chr1,7,META6,CNTN2
chr1,7,META6,DSTYK
chr1,7,META6,LEMD1-AS1
chr1,7,META6,KLHDC8A
chr1,7,META6,NUAK2
chr1,7,META6,BLACAT1
chr1,7,META6,MFSD4A
chr1,7,META6,NUCKS1
chr1,7,META6,SLC45A3
chr1,7,META6,PM20D1
chr1,7,META6,SLC41A1
chr1,7,META6,SLC26A9-AS1
chr1,7,META6,CTSE
chr1,7,META6,RAB7B
chr1,7,META6,RHEX
chr1,7,META6,AVPR1B
chr1,7,META6,FAM72A
chr1,7,META6,IKBKE
chr1,7,META6,EIF2D
chr1,7,META6,DYRK3
chr1,7,META6,TMCC2
chr1,7,META6,LEMD1
chr1,7,META6,SRGAP2
chr1,7,META6,SLC26A9
chr1,7,META6,MAPKAPK2
chr1,7,META6,RASSF5
chr1,7,META6,CDK18
chr1,8,META6,LEFTY1
chr1,8,META6,MIR6741
chr1,8,META6,PYCR2
chr1,8,META6,LEFTY2
chr1,8,META6,LINC01703
chr1,8,META6,MIXL1
chr1,8,META6,ZNF847P
chr1,8,META6,JMJD4
chr1,8,META6,SRP9
chr1,8,META6,TMEM63A
chr1,8,META6,H3-3A
chr1,8,META6,SDE2
chr1,8,META6,H3P6
chr1,8,META6,ACBD3-AS1
chr1,8,META6,ACBD3
chr1,8,META6,LIN9
chr1,8,META6,STUM
chr1,8,META6,ITPKB-IT1
chr1,8,META6,ITPKB
chr1,8,META6,COQ8A
chr1,8,META6,ZNF678
chr1,8,META6,SNAP47
chr1,8,META6,EPHX1
chr1,8,META6,PARP1
chr1,8,META6,CDC42BPA
chr1,8,META6,PSEN2
chr1,9,META6,MAP10
chr1,9,META6,PCNX2
chr1,9,META6,TSNAX
chr1,9,META6,DISC1
chr1,9,META6,DISC2
chr1,9,META6,DISC1-IT1
chr1,9,META6,LINC01745
chr1,9,META6,LINC01744
chr1,9,META6,NTPCR
chr1,9,META6,MAP3K21
chr1,9,META6,TSNAX-DISC1
chr1,9,META6,LINC00582
chr1,9,META6,SIPA1L2
chr1,10,META6,MIR4677
chr1,10,META6,LINC01347
chr1,10,META6,C1orf100
chr1,10,META6,CEP170
chr1,10,META6,LINC02774
chr1,10,META6,AKT3
chr1,10,META6,ZBTB18
chr1,10,META6,CATSPERE
chr1,10,META6,ADSS2
chr1,10,META6,SDCCAG8
chr2,11,META6,MSGN1
chr2,11,META6,RDH14
chr2,11,META6,RAD51AP2
chr2,11,META6,GEN1
chr2,11,META6,KCNS3
chr2,11,META6,NT5C1B-RDH14
chr2,11,META6,NT5C1B
chr2,11,META6,VSNL1
chr2,11,META6,SMC6
chr2,12,META6,TP53I3
chr2,12,META6,FKBP1B
chr2,12,META6,SF3B6
chr2,12,META6,WDCP
chr2,12,META6,MFSD2B
chr2,12,META6,FAM228B
chr2,12,META6,FAM228A
chr2,12,META6,ATAD2B
chr2,12,META6,KLHL29
chr2,12,META6,UBXN2A
chr2,12,META6,ITSN2
chr2,12,META6,NCOA1
chr2,12,META6,PFN4
chr2,13,META6,MIR558
chr2,13,META6,EHD3
chr2,13,META6,XDH
chr2,13,META6,SRD5A2
chr2,13,META6,LINC01946
chr2,13,META6,DPY30
chr2,13,META6,SLC30A6
chr2,13,META6,YIPF4
chr2,13,META6,BIRC6-AS2
chr2,13,META6,CAPN14
chr2,13,META6,GALNT14
chr2,13,META6,LCLAT1
chr2,13,META6,CAPN13
chr2,13,META6,NLRC4
chr2,13,META6,SPAST
chr2,13,META6,MEMO1
chr2,13,META6,BIRC6
chr2,14,META6,MIR558
chr2,14,META6,MIR4765
chr2,14,META6,MIR4430
chr2,14,META6,RASGRP3-AS1
chr2,14,META6,LINC01946
chr2,14,META6,DPY30
chr2,14,META6,SLC30A6
chr2,14,META6,YIPF4
chr2,14,META6,BIRC6-AS2
chr2,14,META6,LINC00486
chr2,14,META6,FAM98A
chr2,14,META6,NLRC4
chr2,14,META6,SPAST
chr2,14,META6,MEMO1
chr2,14,META6,TTC27
chr2,14,META6,LTBP1
chr2,14,META6,BIRC6
chr2,14,META6,RASGRP3
chr2,15,META6,LOC339803
chr2,15,META6,C2orf74
chr2,15,META6,SNORA70B
chr2,15,META6,MIR5192
chr2,15,META6,B3GNT2
chr2,15,META6,BCL11A
chr2,15,META6,PAPOLG
chr2,15,META6,REL
chr2,15,META6,LINC01185
chr2,15,META6,PEX13
chr2,15,META6,AHSA2P
chr2,15,META6,XPO1
chr2,15,META6,FAM161A
chr2,15,META6,CCT4
chr2,15,META6,TMEM17
chr2,15,META6,PUS10
chr2,15,META6,KIAA1841
chr2,15,META6,USP34
chr2,15,META6,COMMD1
chr2,16,META6,FBXO48
chr2,16,META6,GKN2
chr2,16,META6,MIR3126
chr2,16,META6,SNORA36C
chr2,16,META6,ASPRV1
chr2,16,META6,PCBP1
chr2,16,META6,LINC01816
chr2,16,META6,MIR1285-2
chr2,16,META6,FAM136A
chr2,16,META6,PROKR1
chr2,16,META6,BMP10
chr2,16,META6,GKN1
chr2,16,META6,NFU1
chr2,16,META6,ANXA4
chr2,16,META6,LOC107985770
chr2,16,META6,SNRNP27
chr2,16,META6,MXD1
chr2,16,META6,TIA1
chr2,16,META6,C2orf42
chr2,16,META6,SNRPG
chr2,16,META6,PCYOX1
chr2,16,META6,ARHGAP25
chr2,16,META6,ANTXR1
chr2,16,META6,APLF
chr2,16,META6,GMCL1
chr2,16,META6,PCBP1-AS1
chr2,16,META6,AAK1
chr2,16,META6,GFPT1
chr2,16,META6,TGFA
chr2,17,META6,FAM95A
chr2,17,META6,TEKT4
chr2,17,META6,TRIM43B
chr2,17,META6,TRIM43
chr2,17,META6,FAHD2CP
chr2,17,META6,ADRA2B
chr2,17,META6,DUSP2
chr2,17,META6,SNORA112
chr2,17,META6,ITPRIPL1
chr2,17,META6,LOC100133920
chr2,17,META6,LOC100509620
chr2,17,META6,MRPS5
chr2,17,META6,ZNF2
chr2,17,META6,FAHD2A
chr2,17,META6,KCNIP3
chr2,17,META6,GPAT2
chr2,17,META6,ASTL
chr2,17,META6,SNRNP200
chr2,17,META6,TMEM127
chr2,17,META6,STARD7-AS1
chr2,17,META6,CIAO1
chr2,17,META6,PROM2
chr2,17,META6,MAL
chr2,17,META6,ZNF514
chr2,17,META6,LOC442028
chr2,17,META6,ANKRD20A8P
chr2,17,META6,ANKRD36C
chr2,17,META6,LINC00342
chr2,17,META6,STARD7
chr2,18,META6,LINC01849
chr2,18,META6,RPL31
chr2,18,META6,SNORD89
chr2,18,META6,MIR5696
chr2,18,META6,LINC01127
chr2,18,META6,LINC01104
chr2,18,META6,LONRF2
chr2,18,META6,NMS
chr2,18,META6,PDCL3
chr2,18,META6,NPAS2-AS1
chr2,18,META6,TBC1D8-AS1
chr2,18,META6,CNOT11
chr2,18,META6,RNF149
chr2,18,META6,CREG2
chr2,18,META6,IL1R2
chr2,18,META6,IL1R1
chr2,18,META6,CHST10
chr2,18,META6,RFX8
chr2,18,META6,TBC1D8
chr2,18,META6,NPAS2
chr2,18,META6,MAP4K4
chr2,19,META6,MIR3679
chr2,19,META6,MIR5590
chr2,19,META6,SNORA40B
chr2,19,META6,MIR128-1
chr2,19,META6,LCT-AS1
chr2,19,META6,CCNT2
chr2,19,META6,LOC107985946
chr2,19,META6,UBXN4
chr2,19,META6,MAP3K19
chr2,19,META6,RAB3GAP1
chr2,19,META6,ACMSD
chr2,19,META6,CCNT2-AS1
chr2,19,META6,MGAT5
chr2,19,META6,TMEM163
chr2,19,META6,LCT
chr2,19,META6,R3HDM1
chr2,19,META6,ZRANB3
chr2,20,META6,ORC4
chr2,20,META6,MBD5
chr2,20,META6,EPC2
chr2,20,META6,ACVR2A
chr2,20,META6,KIF5C
chr2,21,META6,FAM133DP
chr2,21,META6,ERMN
chr2,21,META6,UPP2
chr2,21,META6,CCDC148
chr2,21,META6,DAPL1
chr2,21,META6,ACVR1
chr2,21,META6,ACVR1C
chr2,21,META6,CYTIP
chr2,21,META6,CCDC148-AS1
chr2,21,META6,PKP4
chr2,21,META6,PKP4-AS1
chr2,21,META6,GALNT5
chr2,22,META6,MIR4785
chr2,22,META6,LINC01806
chr2,22,META6,TBR1
chr2,22,META6,AHCTF1P1
chr2,22,META6,LINC02478
chr2,22,META6,TANK
chr2,22,META6,LOC101929512
chr2,22,META6,ITGB6
chr2,22,META6,PLA2R1
chr2,22,META6,PSMD14
chr2,22,META6,SLC4A10
chr2,22,META6,RBMS1
chr2,23,META6,MIR4774
chr2,23,META6,CERS6-AS1
chr2,23,META6,XIRP2-AS1
chr2,23,META6,G6PC2
chr2,23,META6,SPC25
chr2,23,META6,XIRP2
chr2,23,META6,STK39
chr2,23,META6,CERS6
chr2,23,META6,B3GALT1-AS1
chr2,23,META6,LRP2
chr2,23,META6,DHRS9
chr2,23,META6,ABCB11
chr2,23,META6,NOSTRIN
chr2,23,META6,B3GALT1
chr3,24,META6,GRM7-AS2
chr3,24,META6,GRM7-AS3
chr3,24,META6,GRM7-AS1
chr3,24,META6,LOC101927394
chr3,24,META6,GRM7
chr3,25,META6,MIR3714
chr3,25,META6,LOC105376975
chr3,25,META6,TBC1D5
chr3,25,META6,PLCL2
chr3,25,META6,SATB1
chr3,25,META6,SATB1-AS1
chr3,25,META6,LOC339862
chr3,25,META6,KCNH8
chr3,26,META6,LINC01981
chr3,26,META6,EOMES
chr3,26,META6,LINC01980
chr3,26,META6,AZI2
chr3,26,META6,RBMS3-AS3
chr3,26,META6,ZCWPW2
chr3,26,META6,LINC00693
chr3,26,META6,CMC1
chr3,26,META6,RBMS3
chr3,27,META6,GORASP1
chr3,27,META6,MIR6822
chr3,27,META6,CSRNP1
chr3,27,META6,CCR8
chr3,27,META6,RPSA
chr3,27,META6,SNORA6
chr3,27,META6,SNORA62
chr3,27,META6,EIF1B
chr3,27,META6,EXOG
chr3,27,META6,ACVR2B
chr3,27,META6,SCN5A
chr3,27,META6,SCN10A
chr3,27,META6,SCN11A
chr3,27,META6,TTC21A
chr3,27,META6,CX3CR1
chr3,27,META6,SLC25A38
chr3,27,META6,MOBP
chr3,27,META6,RPL14
chr3,27,META6,ZNF619
chr3,27,META6,ENTPD3-AS1
chr3,27,META6,ENTPD3
chr3,27,META6,WDR48
chr3,27,META6,XIRP1
chr3,27,META6,EIF1B-AS1
chr3,27,META6,MYRIP
chr3,28,META6,ARF4-AS1
chr3,28,META6,DENND6A-DT
chr3,28,META6,PDHB
chr3,28,META6,KCTD6
chr3,28,META6,PDE12
chr3,28,META6,ARF4
chr3,28,META6,SLMAP
chr3,28,META6,FLNB-AS1
chr3,28,META6,ABHD6
chr3,28,META6,HTD2
chr3,28,META6,RPP14
chr3,28,META6,PXK
chr3,28,META6,ACOX2
chr3,28,META6,FAM107A
chr3,28,META6,FAM3D
chr3,28,META6,FAM3D-AS1
chr3,28,META6,DNAH12
chr3,28,META6,DNASE1L3
chr3,28,META6,FLNB
chr3,28,META6,CFAP20DC-AS1
chr3,28,META6,CFAP20DC
chr3,28,META6,DENND6A
chr3,29,META6,MIR5682
chr3,29,META6,WDR5B
chr3,29,META6,ARGFX
chr3,29,META6,FBXO40
chr3,29,META6,GOLGB1
chr3,29,META6,IQCB1
chr3,29,META6,EAF2
chr3,29,META6,ILDR1
chr3,29,META6,CD86
chr3,29,META6,CCDC58
chr3,29,META6,CSTA
chr3,29,META6,FAM162A
chr3,29,META6,KPNA1
chr3,29,META6,PARP15
chr3,29,META6,DTX3L
chr3,29,META6,HSPBAP1
chr3,29,META6,STXBP5L
chr3,29,META6,POLQ
chr3,29,META6,PARP9
chr3,29,META6,CASR
chr3,29,META6,SLC15A2
chr3,29,META6,LOC102723582
chr3,29,META6,SLC49A4
chr3,29,META6,HCLS1
chr3,29,META6,PARP14
chr3,30,META6,SERP1
chr3,30,META6,LOC101928105
chr3,30,META6,GPR171
chr3,30,META6,P2RY13
chr3,30,META6,MIR5186
chr3,30,META6,MBNL1-AS1
chr3,30,META6,TMEM14EP
chr3,30,META6,TSC22D2
chr3,30,META6,EIF2A
chr3,30,META6,ERICH6-AS1
chr3,30,META6,ERICH6
chr3,30,META6,SELENOT
chr3,30,META6,SIAH2
chr3,30,META6,CLRN1
chr3,30,META6,MINDY4B
chr3,30,META6,P2RY14
chr3,30,META6,GPR87
chr3,30,META6,P2RY12
chr3,30,META6,IGSF10
chr3,30,META6,AADACL2
chr3,30,META6,AADAC
chr3,30,META6,SUCNR1
chr3,30,META6,AADACL2-AS1
chr3,30,META6,AADACP1
chr3,30,META6,MED12L
chr3,30,META6,MBNL1
chr3,30,META6,LOC101928166
chr3,30,META6,CLRN1-AS1
chr3,31,META6,GPR171
chr3,31,META6,P2RY13
chr3,31,META6,MIR5186
chr3,31,META6,MBNL1-AS1
chr3,31,META6,TMEM14EP
chr3,31,META6,P2RY1
chr3,31,META6,P2RY14
chr3,31,META6,GPR87
chr3,31,META6,P2RY12
chr3,31,META6,IGSF10
chr3,31,META6,AADACL2
chr3,31,META6,AADAC
chr3,31,META6,SUCNR1
chr3,31,META6,AADACL2-AS1
chr3,31,META6,AADACP1
chr3,31,META6,MED12L
chr3,31,META6,MBNL1
chr3,31,META6,LOC101928166
chr3,31,META6,CLRN1-AS1
chr3,31,META6,CLRN1
chr3,32,META6,MME
chr3,32,META6,LINC01487
chr3,32,META6,STRIT1
chr3,32,META6,PLCH1-AS2
chr3,32,META6,KCNAB1-AS1
chr3,32,META6,C3orf33
chr3,32,META6,GMPS
chr3,32,META6,KCNAB1-AS2
chr3,32,META6,SSR3
chr3,32,META6,SLC33A1
chr3,32,META6,PLCH1
chr3,32,META6,KCNAB1
chr3,33,META6,MIR16-2
chr3,33,META6,MIR15B
chr3,33,META6,SCARNA7
chr3,33,META6,TRIM59
chr3,33,META6,ARL14
chr3,33,META6,NMD3
chr3,33,META6,LINC02067
chr3,33,META6,OTOL1
chr3,33,META6,IFT80
chr3,33,META6,KPNA4
chr3,33,META6,PPM1L
chr3,33,META6,B3GALNT1
chr3,33,META6,SPTSSB
chr3,33,META6,SMC4
chr3,33,META6,TRIM59-IFT80
chr3,34,META6,KCNMB3
chr3,34,META6,ZNF639
chr3,34,META6,LINC01014
chr3,34,META6,LOC101928739
chr3,34,META6,MFN1
chr3,34,META6,NDUFB5
chr3,34,META6,MRPL47
chr3,34,META6,PEX5L-AS2
chr3,34,META6,KCNMB2
chr3,34,META6,ZMAT3
chr3,34,META6,KCNMB2-AS1
chr3,34,META6,PIK3CA
chr3,34,META6,PEX5L
chr3,34,META6,ACTL6A
chr3,34,META6,GNB4
chr3,34,META6,USP13
chr3,35,META6,SNORA63D
chr3,35,META6,SNORA63E
chr3,35,META6,YEATS2-AS1
chr3,35,META6,MAP6D1
chr3,35,META6,MIR4448
chr3,35,META6,LINC01995
chr3,35,META6,MCCC1
chr3,35,META6,LAMP3
chr3,35,META6,B3GNT5
chr3,35,META6,LINC00888
chr3,35,META6,KLHL6-AS1
chr3,35,META6,KLHL24
chr3,35,META6,PARL
chr3,35,META6,ABCC5
chr3,35,META6,ABCC5-AS1
chr3,35,META6,DCUN1D1
chr3,35,META6,MCF2L2
chr3,35,META6,ATP11B
chr3,35,META6,YEATS2
chr3,35,META6,KLHL6
chr3,35,META6,LINC01994
chr4,36,META6,MIR571
chr4,36,META6,TMEM271
chr4,36,META6,LOC105374338
chr4,36,META6,MYL5
chr4,36,META6,ATP5ME
chr4,36,META6,LOC100129917
chr4,36,META6,SLC26A1
chr4,36,META6,IDUA
chr4,36,META6,TMED11P
chr4,36,META6,SPON2
chr4,36,META6,CTBP1-DT
chr4,36,META6,NKX1-1
chr4,36,META6,ZNF595
chr4,36,META6,ZNF876P
chr4,36,META6,ZNF732
chr4,36,META6,ZNF141
chr4,36,META6,PIGG
chr4,36,META6,ABCA11P
chr4,36,META6,ZNF721
chr4,36,META6,SLC49A3
chr4,36,META6,PCGF3
chr4,36,META6,FGFRL1
chr4,36,META6,DGKQ
chr4,36,META6,TMEM175
chr4,36,META6,RNF212
chr4,36,META6,LOC105374344
chr4,36,META6,CTBP1
chr4,36,META6,CTBP1-AS
chr4,36,META6,LOC100130872
chr4,36,META6,UVSSA
chr4,36,META6,FAM53A
chr4,36,META6,TMEM129
chr4,36,META6,FGFR3
chr4,36,META6,TACC3
chr4,36,META6,NSD2
chr4,36,META6,ZNF718
chr4,36,META6,PDE6B
chr4,36,META6,CPLX1
chr4,36,META6,GAK
chr4,36,META6,MAEA
chr4,36,META6,LETM1
chr4,36,META6,SLBP
chr4,37,META6,SCARNA22
chr4,37,META6,MIR943
chr4,37,META6,C4orf48
chr4,37,META6,HAUS3
chr4,37,META6,MIR4800
chr4,37,META6,MSANTD1
chr4,37,META6,HGFAC
chr4,37,META6,LINC02171
chr4,37,META6,NSD2
chr4,37,META6,NAT8L
chr4,37,META6,NELFA
chr4,37,META6,MXD4
chr4,37,META6,CFAP99
chr4,37,META6,FAM193A
chr4,37,META6,SH3BP2
chr4,37,META6,MFSD10
chr4,37,META6,NOP14
chr4,37,META6,NOP14-AS1
chr4,37,META6,HTT-AS
chr4,37,META6,DOK7
chr4,37,META6,LRPAP1
chr4,37,META6,LINC00955
chr4,37,META6,ADRA2C
chr4,37,META6,ADD1
chr4,37,META6,ZFYVE28
chr4,37,META6,TNIP2
chr4,37,META6,RNF4
chr4,37,META6,GRK4
chr4,37,META6,RGS12
chr4,37,META6,HTT
chr4,37,META6,POLN
chr4,38,META6,CC2D2A
chr4,38,META6,FAM200B
chr4,38,META6,FGFBP1
chr4,38,META6,FGFBP2
chr4,38,META6,CPEB2
chr4,38,META6,C1QTNF7
chr4,38,META6,FBXL5
chr4,38,META6,CD38
chr4,38,META6,TAPT1
chr4,38,META6,C1QTNF7-AS1
chr4,38,META6,CPEB2-DT
chr4,38,META6,PROM1
chr4,38,META6,TAPT1-AS1
chr4,38,META6,BST1
chr4,38,META6,LINC00504
chr4,38,META6,LDB2
chr4,39,META6,LINC02493
chr4,39,META6,SNORA75B
chr4,39,META6,CLRN2
chr4,39,META6,QDPR
chr4,39,META6,MED28
chr4,39,META6,LAP3
chr4,39,META6,DCAF16
chr4,39,META6,FAM184B
chr4,39,META6,LCORL
chr4,39,META6,NCAPG
chr4,40,META6,LINC02483
chr4,40,META6,THAP6
chr4,40,META6,CXCL11
chr4,40,META6,STBD1
chr4,40,META6,MIR4450
chr4,40,META6,MIR548AH
